#job id,arrival time (sec),topology,shape,size,duration (sec)
382,350100.0,CLOS,48,48,720.0
383,350100.0,CLOS,16,16,0.0
384,350340.0,CLOS,8,8,15780.0
385,351060.0,CLOS,32,32,780.0
386,351420.0,CLOS,48,48,360.0
387,351780.0,CLOS,48,48,180.0
388,351780.0,CLOS,8,8,180.0
389,352140.0,CLOS,8,8,180.0
390,352440.0,CLOS,8,8,180.0
391,352500.0,CLOS,48,48,360.0
392,352740.0,CLOS,8,8,0.0
393,352740.0,CLOS,8,8,180.0
394,352920.0,CLOS,4,4,960.0
395,352920.0,CLOS,48,48,480.0
396,352920.0,CLOS,4,4,63840.0
397,353160.0,CLOS,2,2,780.0
398,353220.0,CLOS,2,2,1080.0
399,353220.0,CLOS,2,2,780.0
400,353340.0,CLOS,2,2,780.0
401,353460.0,CLOS,2,2,720.0
402,353820.0,CLOS,48,48,360.0
403,354180.0,CLOS,2,2,840.0
404,354240.0,CLOS,2,2,840.0
405,354240.0,CLOS,2,2,780.0
406,354240.0,CLOS,48,48,360.0
407,354240.0,CLOS,2,2,840.0
408,354540.0,CLOS,32,32,0.0
409,354660.0,CLOS,48,48,180.0
410,354840.0,CLOS,2,2,1080.0
411,355080.0,CLOS,48,48,360.0
412,355320.0,CLOS,32,32,60.0
413,355500.0,CLOS,48,48,420.0
414,356820.0,CLOS,8,8,180.0
415,357180.0,CLOS,8,8,120.0
416,358260.0,CLOS,8,8,3600.0
417,358440.0,CLOS,8,8,180.0
418,358500.0,CLOS,48,48,5520.0
419,359640.0,CLOS,8,8,60.0
420,360360.0,CLOS,8,8,240.0
421,360420.0,CLOS,32,32,60.0
422,360660.0,CLOS,8,8,180.0
423,360960.0,CLOS,8,8,4860.0
424,361680.0,CLOS,8,8,180.0
425,362040.0,CLOS,8,8,180.0
426,362280.0,CLOS,8,8,600.0
427,362640.0,CLOS,32,32,240.0
428,363360.0,CLOS,8,8,300.0
429,363540.0,CLOS,8,8,300.0
430,363660.0,CLOS,80,80,20520.0
431,363780.0,CLOS,8,8,120.0
432,363780.0,CLOS,8,8,1320.0
433,363900.0,CLOS,32,32,1200.0
434,364080.0,CLOS,48,48,360.0
435,364320.0,CLOS,32,32,360.0
436,364500.0,CLOS,48,48,5520.0
437,364860.0,CLOS,16,16,77280.0
438,364920.0,CLOS,1,1,1200.0
439,364980.0,CLOS,64,64,77220.0
440,365160.0,CLOS,4,4,11820.0
441,365220.0,CLOS,32,32,480.0
442,365280.0,CLOS,400,400,780.0
443,365760.0,CLOS,8,8,15840.0
444,365940.0,CLOS,16,16,240.0
445,366240.0,CLOS,32,32,3840.0
446,366300.0,CLOS,400,400,720.0
447,366300.0,CLOS,32,32,60.0
448,368160.0,CLOS,8,8,2940.0
449,368220.0,CLOS,8,8,3540.0
450,368520.0,CLOS,8,8,7140.0
