#job id,arrival time (sec),topology,shape,size,duration (sec)
215,10192962,CLOS,0.47,0.47,370.0
216,10193027,CLOS,0.23,0.23,2554.0
217,10193568,CLOS,1.0,1.0,290.0
218,10194497,CLOS,1.0,1.0,4084.0
219,10195056,CLOS,1.0,1.0,1200.0
220,10195438,CLOS,1.0+1.0,2.0,1707.0
221,10196373,CLOS,1.0,1.0,7680.0
222,10196386,CLOS,1.0,1.0,4851.0
223,10196392,CLOS,1.0,1.0,2150.0
224,10196397,CLOS,1.0,1.0,13573.0
225,10196546,CLOS,1.0,1.0,13278.0
226,10196555,CLOS,1.0,1.0,1499.0
227,10196738,CLOS,1.0,1.0,474.0
228,10196808,CLOS,1.0,1.0,1078.0
229,10197068,CLOS,1.0,1.0,10351.0
230,10198109,CLOS,0.32,0.32,532.0
231,10198508,CLOS,1.0,1.0,6393.0
232,10198800,CLOS,1.0,1.0,3453.0
233,10199343,CLOS,0.23,0.23,38.0
234,10200098,CLOS,0.11,0.11,153.0
235,10200592,CLOS,1.0,1.0,476.0
236,10200882,CLOS,0.32,0.32,556.0
237,10201724,CLOS,0.32,0.32,448.0
238,10202555,CLOS,0.46,0.46,5849.0
239,10203067,CLOS,1.0,1.0,77.0
240,10203558,CLOS,0.32,0.32,6547.0
241,10203567,CLOS,0.32,0.32,6443.0
242,10203864,CLOS,0.16,0.16,367.0
243,10203963,CLOS,0.47,0.47,35.0
244,10204481,CLOS,0.23,0.23,40513.0
245,10204608,CLOS,0.23,0.23,1990.9999999999998
246,10204958,CLOS,1.0,1.0,3630.0
247,10205784,CLOS,0.22,0.22,4296.0
248,10206323,CLOS,0.23,0.23,398.0
249,10206725,CLOS,0.47,0.47,533.0
250,10207027,CLOS,1.0,1.0,2372.0
251,10208723,CLOS,0.47,0.47,32.0
252,10208961,CLOS,0.47,0.47,5463.0
253,10209700,CLOS,0.23,0.23,143.0
254,10209881,CLOS,1.0,1.0,2931.0
255,10209881,CLOS,1.0,1.0,2941.0
256,10211442,CLOS,0.47,0.47,82.0
257,10211861,CLOS,1.0,1.0,565.0
258,10211972,CLOS,0.23,0.23,41.0
259,10212621,CLOS,0.23,0.23,105.0
260,10212828,CLOS,1.0,1.0,3319.0
261,10213190,CLOS,1.0,1.0,2432.0
262,10213546,CLOS,0.47,0.47,9413.0
263,10213806,CLOS,1.0,1.0,169.0
264,10214358,CLOS,0.65,0.65,506.99999999999994
265,10214440,CLOS,0.65,0.65,179.0
266,10214507,CLOS,0.81,0.81,59003.0
267,10216472,CLOS,1.0,1.0,2145.0
268,10217925,CLOS,1.0,1.0,1558.0
269,10217925,CLOS,1.0,1.0,184.0
270,10217931,CLOS,1.0,1.0,1483.0
271,10219969,CLOS,1.0,1.0,7212.0
272,10220673,CLOS,0.46,0.46,598.0
273,10223133,CLOS,1.0,1.0,891.0
274,10225414,CLOS,0.23,0.23,464.0
275,10232803,CLOS,0.48,0.48,447.0
276,10232974,CLOS,0.46,0.46,1741.0
277,10234226,CLOS,1.0,1.0,460.0
278,10235081,CLOS,1.0,1.0,5292.0
279,10235553,CLOS,1.0,1.0,2699.0
280,10237589,CLOS,1.0,1.0,4025.9999999999995
281,10237776,CLOS,1.0,1.0,780.0
282,10237776,CLOS,1.0,1.0,780.0
283,10240480,CLOS,1.0,1.0,6480.0
284,10244313,CLOS,0.46,0.46,1619.0
285,10245093,CLOS,0.46,0.46,900.0
286,10247202,CLOS,1.0,1.0,4156.0
287,10247867,CLOS,1.0,1.0,6943.0
288,10248468,CLOS,0.32,0.32,10084.0
289,10248939,CLOS,1.0,1.0,1042.0
290,10250349,CLOS,1.0,1.0,5946.0
291,10250498,CLOS,1.0,1.0,234312.0
292,10250736,CLOS,1.0,1.0,4141.0
293,10253468,CLOS,1.0,1.0,689.0
294,10255346,CLOS,1.0,1.0,192.0
295,10255420,CLOS,1.0,1.0,4801.0
296,10256013,CLOS,1.0,1.0,779.0
297,10256133,CLOS,1.0,1.0,1797.0
298,10256855,CLOS,1.0,1.0,1199.0
299,10256862,CLOS,1.0,1.0,1542.0
300,10259147,CLOS,0.47,0.47,110.0
301,10260162,CLOS,1.0,1.0,46.0
302,10260412,CLOS,0.23,0.23,90.0
303,10260448,CLOS,0.47,0.47,218.0
304,10260513,CLOS,0.46,0.46,659.0
305,10260773,CLOS,0.23,0.23,134.0
306,10260845,CLOS,1.0,1.0,1136.0
307,10260976,CLOS,0.23,0.23,128.0
308,10261103,CLOS,1.0,1.0,574.0
309,10261187,CLOS,1.0,1.0,491.0
310,10261340,CLOS,1.0,1.0,6524.0
311,10261372,CLOS,1.0,1.0,5717.0
312,10261763,CLOS,1.0,1.0,320.0
313,10262406,CLOS,0.23,0.23,104.0
314,10262527,CLOS,1.0,1.0,7618.0
315,10262679,CLOS,1.0,1.0,550.0
316,10263507,CLOS,0.35,0.35,58.0
